"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    This is a full test for the happy path of the jobmanager.

    A message is created that will target the jobmamanager. A fake http server will
    simulate all interactions with the jobmanager. The main steps in this test are:
     1. Create a job and put it in mongodb.
     2. The jobmanager will reply to the github-runner manager that the job is ""PENDING""
     3. The github-runner manager will get a token from the jobmanager for the runner and
        will spawn a reactive runner with this token.
     4. A tunnel will be prepared in the test so the reactive runner can get to the jobmanager.
        This is specific to this test and in production it should not be needed.
     5. After some time, the reactive runner will hit the jobmanager health endpoint indicating
        IDLE status.
     6. The jobmanager will change the health response to ""IN_PROGRESS"" and will send a job
        to the builder-agent. The job will be a sleep 30 seconds.
     7. The builder-agent will run the the job. While running the job it will send the status
        EXECUTING and after it is finished it will send the status FINISHED.
     8. Run reconcile in the github-runner manager. As the jobmanager fake health response is
        still ""IN_PROGRESS"" and not deletable, the runner should not be deleted.
     9. Change the health response from the fake jobmanager to reply COMPLETED and deletable.
     10. Run reconcile in the github-runner manager. The runner should be deleted at this point.
         The mongodb should be empty.
    ","498001","test_jobmanager","tests.integration","Mon May 19 18:41:55 UTC 2025","passed","Mon May 19 18:50:13 UTC 2025","","test_jobmanager","",""
"
    arrange: A working application with one runner with repo policy enabled.
    act: Dispatch a workflow.
    assert: Workflow run successfully passed.
    ","0","test_repo_policy_enabled","tests.integration","Mon May 19 18:47:01 UTC 2025","skipped","Mon May 19 18:47:01 UTC 2025","","test_charm_runner","",""
"
    Arrange: RunnerManager instance with no runners.
    Act:
        1. Create two runner.
        2. Delete all idle runner.
    Assert:
        1. Two active idle runner.
        2. No runners.
    ","155562","test_runner_spawn_two","tests.integration","Mon May 19 18:57:00 UTC 2025","passed","Mon May 19 18:59:36 UTC 2025","","test_runner_manager_openstack","",""
"
    arrange: Place a message in the queue and dispatch a workflow.
    act: Call reconcile.
    assert: A runner is spawned to process the job and the message is removed from the queue.
        The metrics are logged.
    ","278248","test_reactive_mode_spawns_runner","tests.integration","Mon May 19 18:42:20 UTC 2025","passed","Mon May 19 18:46:58 UTC 2025","","test_reactive","",""
"
    arrange: Place a message with an unsupported label in the queue and dispatch a workflow.
    act: Call reconcile.
    assert: No runner is spawned and the message is not requeued.
    ","24984","test_reactive_mode_does_not_consume_jobs_with_unsupported_labels","tests.integration","Mon May 19 18:48:48 UTC 2025","passed","Mon May 19 18:49:13 UTC 2025","","test_reactive","",""
"
    arrange: A working application with no runners.
    act: Run check-runners action.
    assert: Action returns result with no runner.
    ","4041","test_check_runners_no_runners","tests.integration","Mon May 19 18:39:39 UTC 2025","passed","Mon May 19 18:39:43 UTC 2025","","test_charm_no_runner","",""
"
    arrange: A working application with one runner.
    act:
        1.  a. Crash/delete the one runner
        2.  Wait for 6 minutes, and then wait for ActiveStatus.
    assert:
        1. a. No runner exists.
        2. a. One runner exists. The runner name should not be the same as the starting one.

    This tests whether the reconcile-runner event is triggered, and updates the dependencies.
    The reconciliation logic is tested with the reconcile-runners action.
    ","623186","test_update_interval","tests.integration","Mon May 19 18:44:58 UTC 2025","passed","Mon May 19 18:55:21 UTC 2025","","test_charm_scheduled_events","",""
"
    arrange: A properly integrated charm with a runner registered on the fork repo.
    act: Dispatch a test workflow and afterwards kill run.sh. After that, reconcile.
    assert: The RunnerStart, RunnerStop and Reconciliation metric is logged.
        The Reconciliation metric has the post job status set to Abnormal.
    ","342460","test_charm_issues_metrics_for_abnormal_termination","tests.integration","Mon May 19 18:44:01 UTC 2025","passed","Mon May 19 18:49:43 UTC 2025","","test_charm_metrics_failure","",""
"
    arrange: A working application with one runner.
    act:
        1. Run Check_runner action. Record the runner name for later.
        2. Nothing.
        3. Change the virtual machine resource configuration.
        4. Run flush_runner action.
        5. Dispatch a workflow to make runner busy and call flush_runner action.

    assert:
        1. One runner exists.
        2. Check the resource matches the configuration.
        3. The runner is not flushed since by default it flushes idle.

    Test are combined to reduce number of runner spawned.
    ","42254","test_flush_runner_and_resource_config","tests.integration","Mon May 19 18:45:29 UTC 2025","failed","Mon May 19 18:46:11 UTC 2025","","test_charm_runner","",""
"
    Arrange: RunnerManager with one idle runner.
    Act:
        1. Run a long workflow.
        3. Run flush idle runner.
        4. Run flush busy runner.
    Assert:
        1. Runner takes the job and become busy.
        3. Busy runner still exists.
        4. No runners exists.
    ","53161","test_runner_flush_busy_lifecycle","tests.integration","Mon May 19 18:54:17 UTC 2025","passed","Mon May 19 18:55:11 UTC 2025","","test_runner_manager_openstack","",""
"
    arrange: A properly integrated charm with a runner registered on the fork repo.
    act: Dispatch a workflow on a branch for the runner to run. After completion, reconcile.
    assert: The RunnerStart, RunnerStop and Reconciliation metric is logged.
        The Reconciliation metric has the post job status set to normal.
    ","234696","test_charm_issues_metrics_after_reconciliation","tests.integration","Mon May 19 18:41:50 UTC 2025","passed","Mon May 19 18:45:45 UTC 2025","","test_charm_metrics_success","",""
"
    Arrange: RunnerManager instance with no runners.
    Act: Get runners.
    Assert: Empty tuple returned.
    ","1995","test_get_no_runner","tests.integration","Mon May 19 18:50:12 UTC 2025","passed","Mon May 19 18:50:14 UTC 2025","","test_runner_manager_openstack","",""
"
    arrange: A working application with one runner.
    act: Run check_runner action.
    assert: Action returns result with one runner.
    ","4034","test_check_runner","tests.integration","Mon May 19 18:41:04 UTC 2025","passed","Mon May 19 18:41:08 UTC 2025","","test_charm_runner","",""
"
    arrange: A working application with one runner in a forked repository.
    act: Change the path configuration to the main repository and reconcile runners.
    assert: No runners connected to the forked repository and one runner in the main repository.
    ","533559","test_path_config_change","tests.integration","Mon May 19 18:39:26 UTC 2025","passed","Mon May 19 18:48:20 UTC 2025","","test_charm_fork_path_change","",""
"
    Arrange: RunnerManager instance with no runners.
    Act:
        1. Create one runner.
        2. Run health check on the runner.
        3. Run cleanup.
        4. Delete all idle runner.
    Assert:
        1. An active idle runner.
        2. Health check passes.
        3. One idle runner remains.
        4. No runners.
    ","98647","test_runner_normal_idle_lifecycle","tests.integration","Mon May 19 18:50:14 UTC 2025","passed","Mon May 19 18:51:52 UTC 2025","","test_runner_manager_openstack","",""
"
    Arrange: RunnerManager with one runner. Clean metric logs.
    Act:
        1. Start a test workflow for the runner.
        2. Run cleanup.
    Assert:
        1. The workflow complete successfully.
        2. The runner should be deleted. The metrics should be recorded.
    ","28791","test_runner_normal_lifecycle","tests.integration","Mon May 19 18:56:31 UTC 2025","passed","Mon May 19 18:57:00 UTC 2025","","test_runner_manager_openstack","",""
"
    arrange:         1. A forked repository.         2. A working application using repo-policy checks with one runner on the forked repository.
    act: Trigger a workflow dispatch that fails the repo policy check on a branch
     in the forked repository.
    assert: The workflow that was dispatched failed and the reason is logged.
    ","300403","test_dispatch_workflow_failure","tests.integration","Mon May 19 18:41:04 UTC 2025","passed","Mon May 19 18:46:05 UTC 2025","","test_charm_fork_repo","",""
